DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3844.6,0.0801,2.5938,39.4507,210.4343,6.5224,8.5569,62.70433849271646
3844.7,0.0807,2.5779,40.8113,265.8624,6.5336,8.5569,63.94256018035739
3844.8,0.0817,2.5643,41.9036,1137.8058,6.5099,8.5569,64.07890650612555
3844.9,0.0832,2.5579,41.7547,62290.7695,6.4419,8.5569,64.07890650612555
3845.0,0.0857,2.5583,41.2022,62290.7695,6.3505,8.5569,64.07890650612555
3845.1,0.0891,2.5604,40.598,62290.7695,6.2695,8.5569,64.07890650612555
3845.2,0.093,2.5586,40.336,62290.7695,6.2163,8.5569,64.07890650612555
3845.3,0.0974,2.5509,40.3612,62219.5625,6.1826,8.5569,64.07890650612555
3845.4,0.1021,2.5383,40.2055,31507.1504,6.149,8.5569,64.13084249296807
3845.5,0.1077,2.5232,42.2445,194.3197,6.0918,8.5569,63.75295291019516
3845.6,0.1141,2.508,43.9382,62.9999,5.9911,8.5569,61.96300698200996
3845.7,0.1209,2.4938,43.6931,18.8567,5.856,8.5569,63.65881160136719
3845.8,0.1276,2.4802,42.2016,14.7037,5.7285,8.5569,65.59544101606369
3845.9,0.134,2.4648,42.63,11.5814,5.654,8.5569,66.89065284115767
3846.0,0.1397,2.4466,42.6513,9.3861,5.6348,8.5569,67.37023073502469
3846.1,0.1443,2.4272,42.6714,7.8928,5.6425,8.5569,68.68862894159416
3846.2,0.1482,2.409,42.9846,7.1555,5.6484,8.5569,69.35300543894833
3846.3,0.152,2.3939,42.797,6.6209,5.6544,8.5569,70.42556187211514
3846.4,0.1559,2.3802,41.2191,6.3,5.6703,8.5569,71.05423145209255
3846.5,0.1626,2.3657,42.0678,6.022,5.6875,8.5569,72.59433448118324
3846.6,0.1659,2.3495,41.3357,5.8132,5.6722,8.5406,73.21807247586851
3846.7,0.1726,2.334,40.4613,5.3895,5.5956,8.5569,74.08790182111181
3846.8,0.1807,2.3207,42.0267,5.0233,5.4629,8.5569,74.63866204459896
3846.9,0.1894,2.3084,43.8491,4.8088,5.3124,8.5569,75.77958587163099
3847.0,0.1976,2.293,43.118,4.6166,5.1937,8.5569,77.32167631582399
3847.1,0.207,2.2739,43.0706,4.4546,5.1339,8.5568,78.37731428967138
3847.2,0.2113,2.2537,43.2327,4.337,5.1156,8.5244,82.6395256551741
3847.3,0.2146,2.2387,43.426,4.187,5.0916,8.5569,82.82972470050187
3847.4,0.2179,2.2237,43.6193,4.1468,5.0675,8.5569,84.5502571499431
3847.5,0.218,2.2149,43.892,4.1278,5.0444,8.5569,84.2986674347879
3847.6,0.2182,2.209,45.3232,4.1085,5.0498,8.5569,85.21534952312928
3847.7,0.2196,2.2057,46.5631,4.0582,5.0704,8.5569,87.74913369149698
3847.8,0.2219,2.2047,47.5375,4.0132,5.0807,8.5569,87.835474184205
3847.9,0.2238,2.2055,47.5288,3.973,5.08,8.5569,87.835474184205
3848.0,0.2247,2.2072,46.8959,3.9447,5.0962,8.5569,86.189247383533
3848.1,0.2241,2.2096,45.9228,3.9333,5.1403,8.5569,86.189247383533
3848.2,0.2224,2.2115,46.9361,3.897,5.1962,8.5569,85.96075354413631
3848.3,0.2207,2.2119,45.0961,3.8774,5.2372,8.5569,85.96075354413631
3848.4,0.2199,2.2106,46.9113,3.8554,5.2504,8.5569,86.189247383533
3848.5,0.2199,2.2093,48.0724,3.8325,5.2416,8.5568,86.189247383533
3848.6,0.2212,2.2089,47.2594,3.8521,5.2047,8.5243,86.39339281479889
3848.7,0.2197,2.209,47.2193,3.8038,5.1418,8.5243,86.39339281479889
3848.8,0.219,2.2082,46.2867,3.787,5.0699,8.5244,86.31060051689416
3848.9,0.219,2.2066,44.4101,3.7636,5.0177,8.5569,87.67183225834819
3849.0,0.2236,2.2051,43.5735,3.7847,5.0029,8.5569,87.67183225834819
3849.1,0.2274,2.2045,42.9251,3.7103,5.0151,8.5569,88.46183620569846
3849.2,0.2275,2.2042,43.3348,3.6942,5.0339,8.5569,88.46183620569846
3849.3,0.2237,2.2035,47.8989,3.6796,5.049,8.5569,87.67183225834819
3849.4,0.2182,2.2026,50.2323,3.6518,5.063,8.5569,87.05293146817998
3849.5,0.2137,2.2026,50.2673,3.6193,5.0846,8.5569,86.1607523546909
3849.6,0.2116,2.2045,48.2752,3.6032,5.1095,8.5569,86.1607523546909
3849.7,0.2109,2.2086,47.5617,3.5861,5.1155,8.5569,84.59896845409122
