DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT,FM. LABEL
2626.2,0.235,2.233,27.241,0.4,4.88,8.547,87.415,Ty Fm. Top
2626.3,0.236,2.233,26.25,0.4,4.857,8.547,87.702,Ty Fm. Top
2626.4,0.241,2.233,26.968,0.402,4.838,8.547,87.68,Ty Fm. Top
2626.5,0.244,2.233,25.838,0.408,4.824,8.547,87.542,Ty Fm. Top
2626.6,0.242,2.234,25.818,0.41,4.817,8.547,87.268,Ty Fm. Top
2626.7,0.235,2.234,26.189,0.412,4.813,8.547,86.981,Ty Fm. Top
2626.8,0.229,2.234,25.23,0.412,4.812,8.547,86.718,Ty Fm. Top
2626.9,0.227,2.232,26.919,0.413,4.816,8.547,86.506,Ty Fm. Top
2627.0,0.229,2.23,26.506,0.413,4.818,8.547,86.439,Ty Fm. Top
2627.1,0.23,2.228,26.506,0.411,4.819,8.547,86.478,Ty Fm. Top
2627.2,0.23,2.227,27.371,0.41,4.817,8.547,86.692,Ty Fm. Top
2627.3,0.228,2.225,28.389,0.411,4.814,8.547,87.076,Ty Fm. Top
2627.4,0.226,2.224,27.506,0.412,4.803,8.547,87.533,Ty Fm. Top
2627.5,0.225,2.224,28.079,0.414,4.781,8.547,88.056,Ty Fm. Top
2627.6,0.226,2.225,27.197,0.414,4.761,8.547,88.473,Ty Fm. Top
2627.7,0.228,2.228,26.929,0.416,4.769,8.547,88.81,Ty Fm. Top
2627.8,0.23,2.232,27.722,0.42,4.815,8.547,88.986,Ty Fm. Top
2627.9,0.231,2.235,28.591,0.424,4.876,8.547,89.07,Ty Fm. Top
2628.0,0.231,2.236,29.104,0.424,4.908,8.547,89.1,Ty Fm. Top
2628.1,0.229,2.237,29.02,0.424,4.906,8.547,89.074,Ty Fm. Top
2628.2,0.228,2.24,27.696,0.426,4.897,8.547,89.024,Ty Fm. Top
2628.3,0.227,2.244,26.701,0.426,4.902,8.547,88.956,Ty Fm. Top
2628.4,0.227,2.245,26.037,0.426,4.91,8.547,88.847,Ty Fm. Top
2628.5,0.224,2.243,26.24,0.426,4.897,8.547,88.685,Ty Fm. Top
2628.6,0.219,2.241,27.62,0.427,4.869,8.547,88.49,Ty Fm. Top
2628.7,0.213,2.241,29.09,0.431,4.85,8.547,88.432,Ty Fm. Top
2628.8,0.212,2.242,27.815,0.433,4.851,8.547,88.408,Ty Fm. Top
2628.9,0.215,2.243,26.032,0.437,4.874,8.547,88.415,Ty Fm. Top
2629.0,0.219,2.243,26.722,0.439,4.91,8.547,87.876,Ty Fm. Top
2629.1,0.222,2.243,26.808,0.442,4.949,8.547,87.67,Ty Fm. Top
2629.2,0.225,2.245,26.949,0.442,4.973,8.547,87.829,Ty Fm. Top
2629.3,0.226,2.248,27.48,0.444,4.969,8.547,87.531,Ty Fm. Top
2629.4,0.227,2.25,27.378,0.447,4.945,8.547,87.392,Ty Fm. Top
2629.5,0.226,2.25,27.18,0.45,4.919,8.547,87.494,Ty Fm. Top
2629.6,0.224,2.249,26.005,0.449,4.898,8.547,87.772,Ty Fm. Top
2629.7,0.22,2.249,26.595,0.45,4.871,8.547,88.012,Ty Fm. Top
2629.8,0.217,2.251,26.98,0.453,4.847,8.547,88.158,Ty Fm. Top
2629.9,0.216,2.253,27.022,0.453,4.836,8.547,88.232,Ty Fm. Top
2630.0,0.216,2.252,27.523,0.456,4.854,8.547,88.255,Ty Fm. Top
2630.1,0.217,2.25,26.726,0.455,4.883,8.547,88.2,Ty Fm. Top
2630.2,0.218,2.247,27.602,0.452,4.893,8.547,88.097,Ty Fm. Top
2630.3,0.219,2.246,28.79,0.452,4.883,8.547,87.925,Ty Fm. Top
2630.4,0.22,2.246,28.179,0.453,4.874,8.547,87.608,Ty Fm. Top
2630.5,0.222,2.246,27.422,0.452,4.882,8.547,87.38,Ty Fm. Top
2630.6,0.222,2.245,28.489,0.453,4.899,8.547,87.14,Ty Fm. Top
2630.7,0.221,2.245,29.039,0.456,4.905,8.547,86.768,Ty Fm. Top
2630.8,0.217,2.247,27.79,0.458,4.891,8.547,86.756,Ty Fm. Top
