DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
4447.5,0.234,2.578,48.574,1.837,5.974,8.729,81.67794904655733
4447.6,0.228,2.58,48.205,1.945,5.975,8.75,79.88046815661296
4447.7,0.226,2.58,47.224,2.214,6.063,8.766,79.90785144470098
4447.8,0.229,2.58,45.761,2.444,6.222,8.781,79.95973139831642
4447.9,0.234,2.582,44.725,2.399,6.425,8.781,81.11938469234141
4448.0,0.239,2.584,43.983,2.46,6.647,8.76,83.3869938741211
4448.1,0.241,2.584,42.986,2.461,6.887,8.75,83.3869938741211
4448.2,0.24,2.584,41.529,2.414,7.195,8.75,83.50925831951302
4448.3,0.241,2.589,43.88,2.433,7.583,8.75,83.50925831951302
4448.4,0.244,2.608,43.157,2.227,7.997,8.719,85.74409817637407
4448.5,0.248,2.642,43.126,1.842,8.296,8.75,85.18135599161333
4448.6,0.25,2.681,42.373,1.79,8.43,8.75,85.18135599161333
4448.7,0.251,2.712,42.89,1.767,8.434,8.75,85.18135599161333
4448.8,0.253,2.727,41.756,1.687,8.382,8.734,85.30756246534517
4448.9,0.252,2.726,40.415,1.698,8.29,8.734,85.30756246534517
4449.0,0.257,2.718,40.68,1.744,8.168,8.703,89.21171117115607
4449.1,0.258,2.713,40.428,1.771,8.028,8.703,89.21171117115607
4449.2,0.258,2.716,39.277,1.716,7.895,8.703,89.21171117115607
4449.3,0.26,2.727,40.469,1.724,7.758,8.726,87.84839678541863
4449.4,0.265,2.734,39.086,1.7,7.612,8.703,89.21171117115607
4449.5,0.269,2.727,39.686,1.69,7.482,8.75,87.39077724756118
4449.6,0.274,2.706,41.532,1.752,7.42,8.75,87.39077724756118
4449.7,0.277,2.681,44.502,1.778,7.47,8.75,87.08905947684914
4449.8,0.279,2.663,46.4,1.782,7.626,8.726,88.38450422886511
4449.9,0.278,2.659,44.414,1.759,7.829,8.703,89.88110343362017
4450.0,0.272,2.666,42.243,1.751,8.001,8.766,87.39077724756118
4450.1,0.273,2.682,40.574,1.808,8.088,8.75,87.39077724756118
4450.2,0.274,2.699,40.65,1.789,8.092,8.734,87.52631148139642
4450.3,0.272,2.717,39.889,1.811,8.024,8.703,89.08872086443851
4450.4,0.267,2.732,37.792,1.806,7.921,8.719,87.84839678541863
4450.5,0.263,2.745,37.198,1.77,7.83,8.75,87.50735005767639
4450.6,0.261,2.753,36.2,1.748,7.804,8.703,89.21171117115607
4450.7,0.259,2.748,34.202,1.675,7.847,8.703,86.92895229508102
4450.8,0.256,2.737,34.913,1.772,7.893,8.738,86.21952788900224
4450.9,0.256,2.727,33.357,1.805,7.896,8.75,85.025286572479
4451.0,0.254,2.724,33.297,1.809,7.873,8.75,83.89084521061497
4451.1,0.254,2.72,33.542,1.724,7.865,8.719,84.35743676942182
4451.2,0.249,2.71,34.532,1.591,7.888,8.727,83.46428491090388
4451.3,0.249,2.693,33.215,1.505,7.946,8.75,82.87418593890413
4451.4,0.251,2.679,32.159,1.454,8.033,8.75,82.82623811166869
4451.5,0.251,2.674,33.194,1.478,8.133,8.76,82.87418593890413
4451.6,0.253,2.676,34.088,1.557,8.235,8.76,83.01123165767535
4451.7,0.253,2.683,34.355,1.624,8.323,8.75,83.01123165767535
4451.8,0.25,2.687,34.457,1.673,8.387,8.75,83.01123165767535
4451.9,0.247,2.688,34.351,1.624,8.414,8.75,83.01123165767535
4452.0,0.242,2.684,35.011,1.555,8.388,8.75,81.74123832826425
4452.1,0.237,2.679,35.958,1.398,8.317,8.75,80.93305338810625
4452.2,0.23,2.672,37.628,1.407,8.205,8.771,79.53709128683104
4452.3,0.226,2.663,39.312,1.398,8.072,8.719,79.87426956461034
4452.4,0.219,2.652,40.41,1.391,7.935,8.703,79.24078567614617
4452.5,0.213,2.644,38.977,1.399,7.779,8.703,78.01432538430475
4452.6,0.205,2.643,39.34,1.4,7.61,8.703,77.41134461115878
4452.7,0.196,2.647,39.598,1.456,7.415,8.703,76.54269463603444
4452.8,0.187,2.649,40.696,1.442,7.205,8.703,76.48770988459862
4452.9,0.173,2.641,39.338,1.354,6.969,8.766,73.3269030802725
4453.0,0.166,2.625,39.321,1.251,6.74,8.781,73.1982474785373
4453.1,0.163,2.604,38.45,1.193,6.55,8.75,73.24576436843992
4453.2,0.16,2.586,38.602,1.201,6.439,8.75,73.61107791093141
4453.3,0.158,2.576,39.457,1.244,6.43,8.75,73.70630648376876
4453.4,0.155,2.572,39.915,1.271,6.496,8.75,73.35727149029795
4453.5,0.153,2.576,38.666,1.328,6.579,8.75,73.35727149029795
4453.6,0.152,2.588,36.306,1.363,6.609,8.766,73.01894082323818
4453.7,0.151,2.605,34.444,1.381,6.547,8.75,72.56495113762425
4453.8,0.154,2.622,35.996,1.423,6.411,8.703,74.1863024455278
4453.9,0.152,2.632,36.667,1.469,6.259,8.734,72.529852118765
4454.0,0.153,2.633,35.605,1.364,6.152,8.75,72.88512040773064
4454.1,0.153,2.625,34.221,1.389,6.119,8.771,72.49922105697323
4454.2,0.155,2.61,35.452,1.537,6.136,8.782,73.46428965662601
4454.3,0.154,2.592,38.175,1.556,6.145,8.828,73.46428965662601
4454.4,0.157,2.573,40.417,1.544,6.088,8.828,73.91070813173462
4454.5,0.163,2.554,42.309,1.549,5.953,8.781,73.73709037570592
4454.6,0.168,2.54,42.14,1.535,5.798,8.75,74.13381035516707
4454.7,0.168,2.531,43.978,1.488,5.69,8.766,74.34152775561672
4454.8,0.17,2.526,46.6,1.386,5.645,8.781,74.27677158603329
4454.9,0.169,2.524,47.326,1.335,5.639,8.781,74.27677158603329
4455.0,0.168,2.523,49.063,1.378,5.627,8.781,74.27677158603329
4455.1,0.166,2.523,49.808,1.431,5.588,8.781,74.27677158603329
